run_date,week,author,tokens,share_pct,is_residual,is_us
2026-08-26,2025-12-15,deepseek,472757803332,8.094,0,0
2026-08-26,2025-12-15,qwen,266457304041,4.562,0,0
2026-08-26,2025-12-15,mistralai,258307510887,4.423,0,0
2026-08-26,2025-12-15,xiaomi,170776227913,2.924,0,0
2026-08-26,2025-12-15,z-ai,134412775843,2.301,0,0
2026-08-26,2025-12-15,others,608968567589,10.427,1,0
2026-08-26,2025-12-22,google,1268768273181,22.397,0,1
2026-08-26,2025-12-22,x-ai,805513622104,14.219,0,1
2026-08-26,2025-12-22,anthropic,730076572282,12.888,0,1
2026-08-26,2025-12-22,openai,591426372567,10.44,0,1
2026-08-26,2025-12-22,deepseek,582540399694,10.283,0,0
2026-08-26,2025-12-22,xiaomi,378754384454,6.686,0,0
2026-08-26,2025-12-22,mistralai,279227900599,4.929,0,0
2026-08-26,2025-12-22,qwen,222936225845,3.935,0,0
2026-08-26,2025-12-22,z-ai,141211469634,2.493,0,0
2026-08-26,2025-12-22,others,664493988140,11.73,1,0
2026-08-26,2025-12-29,google,1295712537772,23.277,0,1
2026-08-26,2025-12-29,x-ai,749641564198,13.467,0,1
2026-08-26,2025-12-29,anthropic,703516556223,12.638,0,1
2026-08-26,2025-12-29,deepseek,614461580091,11.038,0,0
2026-08-26,2025-12-29,openai,545629765396,9.802,0,1
2026-08-26,2025-12-29,xiaomi,351029002678,6.306,0,0
2026-08-26,2025-12-29,mistralai,262453430265,4.715,0,0
2026-08-26,2025-12-29,qwen,211045481200,3.791,0,0
2026-08-26,2025-12-29,z-ai,168586064890,3.029,0,0
2026-08-26,2025-12-29,others,664465405970,11.937,1,0
2026-08-26,2026-01-05,google,1553286914818,24.196,0,1
2026-08-26,2026-01-05,anthropic,1088092399008,16.949,0,1
2026-08-26,2026-01-05,x-ai,782749881687,12.193,0,1
2026-08-26,2026-01-05,openai,703514597380,10.959,0,1
2026-08-26,2026-01-05,deepseek,591151217119,9.208,0,0
2026-08-26,2026-01-05,xiaomi,397319307841,6.189,0,0
2026-08-26,2026-01-05,mistralai,272026680426,4.237,0,0
2026-08-26,2026-01-05,z-ai,218677058619,3.406,0,0
2026-08-26,2026-01-05,qwen,204616713914,3.187,0,0
2026-08-26,2026-01-05,others,608248940270,9.475,1,0
2026-08-26,2026-01-12,google,1998294970777,26.144,0,1
2026-08-26,2026-01-12,anthropic,1459484999758,19.095,0,1
2026-08-26,2026-01-12,openai,955935943710,12.507,0,1
2026-08-26,2026-01-12,x-ai,898370228481,11.754,0,1
2026-08-26,2026-01-12,deepseek,633557503667,8.289,0,0
2026-08-26,2026-01-12,xiaomi,548711148776,7.179,0,0
2026-08-26,2026-01-12,mistralai,274859328582,3.596,0,0
2026-08-26,2026-01-12,qwen,234466759414,3.068,0,0
2026-08-26,2026-01-12,z-ai,174850970592,2.288,0,0
2026-08-26,2026-01-12,others,464740703935,6.08,1,0
2026-08-26,2026-01-19,google,1766969945274,23.579,0,1
2026-08-26,2026-01-19,anthropic,1259135523006,16.803,0,1
2026-08-26,2026-01-19,x-ai,992472494514,13.244,0,1
2026-08-26,2026-01-19,openai,965476605581,12.884,0,1
2026-08-26,2026-01-19,deepseek,665009388419,8.874,0,0
2026-08-26,2026-01-19,xiaomi,586051305365,7.821,0,0
2026-08-26,2026-01-19,qwen,304964225151,4.07,0,0
2026-08-26,2026-01-19,mistralai,285314894465,3.807,0,0
2026-08-26,2026-01-19,z-ai,185660977446,2.478,0,0
2026-08-26,2026-01-19,others,482624233797,6.44,1,0
2026-08-26,2026-01-26,google,1961640028454,23.778,0,1
2026-08-26,2026-01-26,anthropic,1378745779355,16.712,0,1
2026-08-26,2026-01-26,openai,1189326772831,14.416,0,1
2026-08-26,2026-01-26,x-ai,922101543405,11.177,0,1
2026-08-26,2026-01-26,deepseek,788046504305,9.552,0,0
2026-08-26,2026-01-26,moonshotai,429235515579,5.203,0,0
2026-08-26,2026-01-26,qwen,321041967657,3.891,0,0
2026-08-26,2026-01-26,z-ai,261654524720,3.172,0,0
2026-08-26,2026-01-26,minimax,248156186896,3.008,0,0
2026-08-26,2026-01-26,others,749985528716,9.091,1,0
2026-08-26,2026-02-02,google,2109814458133,21.519,0,1
2026-08-26,2026-02-02,anthropic,1473328234195,15.027,0,1
2026-08-26,2026-02-02,openai,1218996670987,12.433,0,1
2026-08-26,2026-02-02,moonshotai,1215194319816,12.394,0,0
2026-08-26,2026-02-02,deepseek,910484364240,9.287,0,0
2026-08-26,2026-02-02,x-ai,802506599954,8.185,0,1
2026-08-26,2026-02-02,minimax,457235400281,4.664,0,0
2026-08-26,2026-02-02,arcee-ai,345155106012,3.52,0,0
2026-08-26,2026-02-02,qwen,336211790620,3.429,0,0
2026-08-26,2026-02-02,others,935399985623,9.541,1,0
2026-08-26,2026-02-09,google,2222926215318,17.08,0,1
2026-08-26,2026-02-09,minimax,1838455874814,14.126,0,0
2026-08-26,2026-02-09,anthropic,1639622445628,12.598,0,1
2026-08-26,2026-02-09,openai,1451468394749,11.153,0,1
2026-08-26,2026-02-09,moonshotai,1347275220873,10.352,0,0
2026-08-26,2026-02-09,deepseek,991830131689,7.621,0,0
2026-08-26,2026-02-09,x-ai,911948532153,7.007,0,1
2026-08-26,2026-02-09,z-ai,905232363237,6.955,0,0
2026-08-26,2026-02-09,arcee-ai,442730241907,3.402,0,0
2026-08-26,2026-02-09,others,1263140706853,9.706,1,0
2026-08-26,2026-02-16,minimax,2631525718303,18.867,0,0
2026-08-26,2026-02-16,google,2307954806270,16.547,0,1
2026-08-26,2026-02-16,anthropic,1892797907007,13.571,0,1
2026-08-26,2026-02-16,openai,1444682299863,10.358,0,1
2026-08-26,2026-02-16,moonshotai,1084798415350,7.778,0,0
2026-08-26,2026-02-16,z-ai,1065200509251,7.637,0,0
2026-08-26,2026-02-16,deepseek,981058905563,7.034,0,0
2026-08-26,2026-02-16,x-ai,821672747429,5.891,0,1
2026-08-26,2026-02-16,arcee-ai,454555053182,3.259,0,0
2026-08-26,2026-02-16,others,1263481439274,9.059,1,0
2026-08-26,2026-02-23,google,2656742258412,19.512,0,1
2026-08-26,2026-02-23,anthropic,2203897755589,16.186,0,1
2026-08-26,2026-02-23,minimax,2027410956857,14.89,0,0
2026-08-26,2026-02-23,openai,1451188402356,10.658,0,1
2026-08-26,2026-02-23,deepseek,1016566616398,7.466,0,0
2026-08-26,2026-02-23,x-ai,802564793762,5.894,0,1
2026-08-26,2026-02-23,z-ai,764248088566,5.613,0,0
2026-08-26,2026-02-23,moonshotai,740153194419,5.436,0,0
2026-08-26,2026-02-23,arcee-ai,542443799344,3.984,0,0
2026-08-26,2026-02-23,others,1410455323353,10.359,1,0
2026-08-26,2026-03-02,google,2827148911227,19.117,0,1
2026-08-26,2026-03-02,anthropic,2355595446268,15.928,0,1
2026-08-26,2026-03-02,openai,2021630184773,13.67,0,1
2026-08-26,2026-03-02,minimax,1979569022098,13.385,0,0
2026-08-26,2026-03-02,deepseek,1042890821039,7.052,0,0
2026-08-26,2026-03-02,moonshotai,786626928924,5.319,0,0
2026-08-26,2026-03-02,x-ai,773133196096,5.228,0,1
2026-08-26,2026-03-02,stepfun,764803906676,5.171,0,0
2026-08-26,2026-03-02,qwen,649679537775,4.393,0,0
2026-08-26,2026-03-02,others,1587832200120,10.737,1,0
2026-08-26,2026-03-09,google,2959471923029,17.538,0,1
2026-08-26,2026-03-09,anthropic,2594063242108,15.373,0,1
2026-08-26,2026-03-09,openai,2067967219200,12.255,0,1
2026-08-26,2026-03-09,minimax,1792327195249,10.622,0,0
2026-08-26,2026-03-09,stepfun,1374692128264,8.147,0,0
2026-08-26,2026-03-09,deepseek,1235141886790,7.32,0,0
2026-08-26,2026-03-09,openrouter,872883529676,5.173,0,0
2026-08-26,2026-03-09,x-ai,693283959400,4.108,0,1
2026-08-26,2026-03-09,qwen,655555497004,3.885,0,0
2026-08-26,2026-03-09,others,2629088299899,15.58,1,0
2026-08-26,2026-03-16,google,3066716196487,15.109,0,1
2026-08-26,2026-03-16,anthropic,2834929867771,13.967,0,1
2026-08-26,2026-03-16,xiaomi,2040840162904,10.055,0,0
2026-08-26,2026-03-16,openai,1965325662273,9.683,0,1
2026-08-26,2026-03-16,minimax,1696705868748,8.359,0,0
2026-08-26,2026-03-16,stepfun,1519836977943,7.488,0,0
2026-08-26,2026-03-16,z-ai,1514250529667,7.461,0,0
2026-08-26,2026-03-16,deepseek,1346950238183,6.636,0,0
2026-08-26,2026-03-16,openrouter,1196973568465,5.897,0,0
2026-08-26,2026-03-16,others,3114265762090,15.344,1,0
2026-08-26,2026-03-23,xiaomi,4666540204111,20.612,0,0
2026-08-26,2026-03-23,google,2945813905456,13.012,0,1
2026-08-26,2026-03-23,anthropic,2856288746295,12.616,0,1
2026-08-26,2026-03-23,minimax,2221651740582,9.813,0,0
2026-08-26,2026-03-23,openai,2167710955642,9.575,0,1
2026-08-26,2026-03-23,stepfun,1542984908833,6.815,0,0
2026-08-26,2026-03-23,z-ai,1532458741783,6.769,0,0
2026-08-26,2026-03-23,deepseek,1469552048039,6.491,0,0
2026-08-26,2026-03-23,x-ai,785581586862,3.47,0,1
2026-08-26,2026-03-23,others,2451341603972,10.828,1,0
2026-08-26,2026-03-30,qwen,6900816539818,25.553,0,0
2026-08-26,2026-03-30,xiaomi,3641020195567,13.482,0,0
2026-08-26,2026-03-30,google,2873919097243,10.642,0,1
2026-08-26,2026-03-30,anthropic,2740500383714,10.148,0,1
2026-08-26,2026-03-30,minimax,2070067828677,7.665,0,0
2026-08-26,2026-03-30,openai,2026636329789,7.505,0,1
2026-08-26,2026-03-30,deepseek,1425279104392,5.278,0,0
2026-08-26,2026-03-30,stepfun,1316657515956,4.876,0,0
2026-08-26,2026-03-30,z-ai,1260481438911,4.667,0,0
2026-08-26,2026-03-30,others,2750177966847,10.184,1,0
2026-08-26,2026-04-06,google,3435852196973,16.368,0,1
2026-08-26,2026-04-06,anthropic,3002965143504,14.306,0,1
2026-08-26,2026-04-06,openai,2611959386194,12.443,0,1
2026-08-26,2026-04-06,qwen,2559106908651,12.192,0,0
2026-08-26,2026-04-06,minimax,2359274586404,11.24,0,0
2026-08-26,2026-04-06,deepseek,1493792196312,7.116,0,0
2026-08-26,2026-04-06,z-ai,1366798697900,6.511,0,0
2026-08-26,2026-04-06,xiaomi,834876406009,3.977,0,0
2026-08-26,2026-04-06,nvidia,771654727418,3.676,0,1
2026-08-26,2026-04-06,others,2554565566410,12.17,1,0
2026-08-26,2026-04-13,google,3606981353449,17.621,0,1
2026-08-26,2026-04-13,anthropic,3582350565367,17.501,0,1
2026-08-26,2026-04-13,openai,2505260215611,12.239,0,1
2026-08-26,2026-04-13,minimax,2033022270282,9.932,0,0
2026-08-26,2026-04-13,deepseek,1491356890983,7.286,0,0
2026-08-26,2026-04-13,z-ai,1433357912972,7.002,0,0
2026-08-26,2026-04-13,xiaomi,1352323652832,6.607,0,0
2026-08-26,2026-04-13,qwen,1028377042679,5.024,0,0
2026-08-26,2026-04-13,x-ai,782654123190,3.824,0,1
2026-08-26,2026-04-13,others,2653589089836,12.964,1,0
2026-08-26,2026-04-20,anthropic,3827391957032,17.49,0,1
2026-08-26,2026-04-20,google,3545649639628,16.203,0,1
2026-08-26,2026-04-20,openai,2553228091390,11.667,0,1
2026-08-26,2026-04-20,moonshotai,1918835711194,8.769,0,0
2026-08-26,2026-04-20,deepseek,1675960580262,7.659,0,0
2026-08-26,2026-04-20,minimax,1519461795466,6.943,0,0
2026-08-26,2026-04-20,z-ai,1145555772160,5.235,0,0
2026-08-26,2026-04-20,qwen,1099650582417,5.025,0,0
2026-08-26,2026-04-20,x-ai,916345401789,4.187,0,1
2026-08-26,2026-04-20,others,3681190118850,16.822,1,0
2026-08-26,2026-04-27,google,3463721512253,14.555,0,1
2026-08-26,2026-04-27,anthropic,3360198428118,14.12,0,1
2026-08-26,2026-04-27,tencent,3031258079486,12.738,0,0
2026-08-26,2026-04-27,openai,2535715337092,10.655,0,1
2026-08-26,2026-04-27,deepseek,2202234914325,9.254,0,0
2026-08-26,2026-04-27,moonshotai,2109648348381,8.865,0,0
2026-08-26,2026-04-27,qwen,1213026557193,5.097,0,0
2026-08-26,2026-04-27,minimax,1080509380451,4.54,0,0
2026-08-26,2026-04-27,z-ai,1005251444234,4.224,0,0
2026-08-26,2026-04-27,others,3796192812037,15.952,1,0
2026-08-26,2026-05-04,anthropic,3734674516284,14.514,0,1
2026-08-26,2026-05-04,google,3608271453861,14.023,0,1
2026-08-26,2026-05-04,tencent,3532940883450,13.73,0,0
2026-08-26,2026-05-04,deepseek,2987332519551,11.61,0,0
2026-08-26,2026-05-04,openai,2628361218733,10.214,0,1
2026-08-26,2026-05-04,moonshotai,1902067718275,7.392,0,0
2026-08-26,2026-05-04,qwen,1301757132084,5.059,0,0
2026-08-26,2026-05-04,minimax,1027483035039,3.993,0,0
2026-08-26,2026-05-04,z-ai,986478653305,3.834,0,0
2026-08-26,2026-05-04,others,4022421448996,15.632,1,0
2026-08-26,2026-05-11,deepseek,4247874865636,15.788,0,0
2026-08-26,2026-05-11,anthropic,4149009880386,15.421,0,1
2026-08-26,2026-05-11,google,3972862637677,14.766,0,1
2026-08-26,2026-05-11,openai,2656256078296,9.872,0,1
2026-08-26,2026-05-11,tencent,2655609281726,9.87,0,0
2026-08-26,2026-05-11,qwen,1435998718879,5.337,0,0
2026-08-26,2026-05-11,moonshotai,1354862536790,5.036,0,0
2026-08-26,2026-05-11,minimax,1035145739527,3.847,0,0
2026-08-26,2026-05-11,z-ai,942661611348,3.504,0,0
2026-08-26,2026-05-11,others,4455401022207,16.559,1,0
2026-08-26,2026-05-18,deepseek,5740552178629,19.85,0,0
2026-08-26,2026-05-18,anthropic,4773467221885,16.506,0,1
2026-08-26,2026-05-18,google,4362512380748,15.085,0,1
2026-08-26,2026-05-18,tencent,3070596313261,10.617,0,0
2026-08-26,2026-05-18,openai,2970737141428,10.272,0,1
2026-08-26,2026-05-18,qwen,1190485253990,4.116,0,0
2026-08-26,2026-05-18,openrouter,1151443392690,3.981,0,0
2026-08-26,2026-05-18,z-ai,928174149733,3.209,0,0
2026-08-26,2026-05-18,moonshotai,919546819726,3.18,0,0
2026-08-26,2026-05-18,others,3812690058738,13.183,1,0
2026-08-26,2026-05-25,deepseek,5601259964677,17.61,0,0
2026-08-26,2026-05-25,anthropic,5570316147867,17.512,0,1
2026-08-26,2026-05-25,google,4194618621766,13.187,0,1
2026-08-26,2026-05-25,tencent,3026690479588,9.516,0,0
2026-08-26,2026-05-25,openai,2939534249958,9.242,0,1
2026-08-26,2026-05-25,xiaomi,2812628049934,8.843,0,0
2026-08-26,2026-05-25,openrouter,1663154558448,5.229,0,0
2026-08-26,2026-05-25,qwen,1213013963799,3.814,0,0
2026-08-26,2026-05-25,z-ai,962331203080,3.025,0,0
2026-08-26,2026-05-25,others,3824200548405,12.023,1,0
2026-08-26,2026-06-01,deepseek,6745347158213,18.672,0,0
2026-08-26,2026-06-01,anthropic,5291436945069,14.647,0,1
2026-08-26,2026-06-01,google,4287225547026,11.867,0,1
2026-08-26,2026-06-01,minimax,3045029022723,8.429,0,0
2026-08-26,2026-06-01,xiaomi,2945116483175,8.152,0,0
