run_date,model,variant,providers,providers_with_stats,tok_s_weighted,tok_s_median,tok_s_max,latency_s_median,out_price_usd_per_mn_median,out_price_usd_per_mn_min,requests_30m,quantization,quant_providers,hf_slug
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,7,6,30.42,56.5,71.5,2.46,10.0,10.0,58427,,,
2026-07-28,google/gemini-3-flash-preview-20251217,standard,2,2,60.18,60.5,61.0,1.29,3.0,3.0,293889,,,
2026-07-28,anthropic/claude-4.6-sonnet-20260217,standard,8,7,38.08,43.0,76.0,1.29,15.0,15.0,129726,,,
2026-07-28,anthropic/claude-4.7-opus-20260416,standard,7,4,57.6,48.0,71.0,1.76,25.0,25.0,16867,,,
2026-07-28,google/gemini-2.5-flash-lite,standard,3,3,85.07,87.0,93.0,0.48,0.4,0.4,504920,,,
2026-07-28,google/gemini-2.5-flash,standard,4,4,84.66,82.5,90.0,0.6,2.5,2.5,673435,,,
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,6,6,43.39,41.5,128.0,1.97,0.9152,0.696,32662,,,
2026-07-28,x-ai/grok-4.5-20260708,standard,2,2,58.0,58.0,58.0,0.91,6.0,6.0,21731,,,
2026-07-28,openai/gpt-5.6-sol-20260709,standard,3,2,36.35,39.0,43.0,3.19,30.0,30.0,19074,,,
2026-07-28,openai/gpt-oss-120b,standard,19,18,149.74,109.5,833.0,0.47,0.6,0.17,363292,,,
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,21,21,47.38,31.0,77.0,1.03,0.28,0.18,1930569,,,
2026-07-28,tencent/hy3-20260706,standard,5,5,48.46,42.0,49.0,2.63,0.58,0.528,259939,,,
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,18,18,43.28,41.5,108.0,1.8,2.808,0.87,296273,,,
2026-07-28,z-ai/glm-5.2-20260616,standard,33,33,40.41,43.0,130.0,1.6,4.4,2.2616,223528,,,
2026-07-28,minimax/minimax-m3-20260531,standard,8,8,47.3,45.0,98.0,1.75,1.2,0.96,81736,,,
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,7,5,55.95,59.0,62.0,1.87,25.0,25.0,23749,,,
2026-07-28,moonshotai/kimi-k3-20260715,standard,7,7,27.72,26.0,63.0,2.54,15.0,15.0,54497,,,
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,7,6,30.42,56.5,71.5,2.46,10.0,10.0,58427,,,
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,7,7,33.0,33.0,65.0,1.87,0.28,0.224,501516,fp8,7,XiaomiMiMo/MiMo-V2.5
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,21,21,47.38,31.0,77.0,1.03,0.28,0.18,1930569,fp8,14,deepseek-ai/DeepSeek-V4-Flash
2026-07-28,tencent/hy3-20260706,standard,5,5,48.46,42.0,49.0,2.63,0.58,0.528,259939,fp8,4,tencent/Hy3
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,18,18,43.28,41.5,108.0,1.8,2.808,0.87,296273,fp8,12,deepseek-ai/DeepSeek-V4-Pro
2026-07-28,z-ai/glm-5.2-20260616,standard,33,33,40.41,43.0,130.0,1.6,4.4,2.2616,223528,fp8,23,zai-org/GLM-5.2
2026-07-28,minimax/minimax-m3-20260531,standard,8,8,47.3,45.0,98.0,1.75,1.2,0.96,81736,fp8,6,MiniMaxAI/Minimax-M3
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,7,7,33.0,33.0,65.0,1.87,0.28,0.224,501516,fp8,7,XiaomiMiMo/MiMo-V2.5
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,20,20,49.95,32.0,80.0,1.37,0.28,0.18,1839309,fp8,13,deepseek-ai/DeepSeek-V4-Flash
2026-07-28,tencent/hy3-20260706,standard,5,5,42.74,42.0,43.0,2.88,0.58,0.528,351450,fp8,4,tencent/Hy3
2026-07-28,z-ai/glm-5.2-20260616,standard,33,33,41.36,47.0,115.0,1.59,4.4,2.2594,271195,fp8,23,zai-org/GLM-5.2
2026-07-28,stepfun/step-3.7-flash-20260528,standard,3,3,45.48,45.0,200.0,2.33,1.15,1.15,48234,fp8,2,stepfun-ai/Step-3.7-Flash
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,7,5,55.95,59.0,62.0,1.87,25.0,25.0,23749,unknown,0,
2026-07-28,moonshotai/kimi-k3-20260715,standard,7,7,25.81,28.0,69.0,3.95,15.0,15.0,52490,fp8,3,moonshotai/Kimi-K3
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,7,6,30.42,56.5,71.5,2.46,10.0,10.0,58427,unknown,0,
2026-07-28,google/gemini-3-flash-preview-20251217,standard,2,2,60.18,60.5,61.0,1.29,3.0,3.0,293889,unknown,0,
2026-07-28,anthropic/claude-4.6-sonnet-20260217,standard,8,7,38.08,43.0,76.0,1.29,15.0,15.0,129726,unknown,0,
2026-07-28,anthropic/claude-4.7-opus-20260416,standard,7,4,57.6,48.0,71.0,1.76,25.0,25.0,16867,unknown,0,
2026-07-28,google/gemini-2.5-flash-lite,standard,3,3,85.07,87.0,93.0,0.48,0.4,0.4,504920,unknown,0,
2026-07-28,google/gemini-2.5-flash,standard,4,4,80.98,83.0,160.0,0.58,2.5,2.5,589718,unknown,0,
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,6,6,43.39,41.5,128.0,1.97,0.9152,0.696,32662,fp8,4,XiaomiMiMo/MiMo-V2.5-Pro
2026-07-28,google/gemini-3.1-flash-lite-20260507,standard,2,2,75.29,79.0,89.0,0.64,1.5,1.5,352005,unknown,0,
2026-07-28,x-ai/grok-4.5-20260708,standard,2,2,58.0,58.0,58.0,0.91,6.0,6.0,21731,unknown,0,
2026-07-28,openai/gpt-5.6-sol-20260709,standard,3,3,32.89,33.0,78.0,4.14,30.0,30.0,29886,unknown,0,
2026-07-28,openai/gpt-oss-120b,standard,19,18,149.74,109.5,833.0,0.47,0.6,0.17,363292,fp4,10,openai/gpt-oss-120b
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,7,7,27.84,28.0,48.0,1.05,0.28,0.224,555369,fp8,7,XiaomiMiMo/MiMo-V2.5
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,20,20,54.6,34.5,96.5,1.27,0.28,0.18,2025587,fp8,13,deepseek-ai/DeepSeek-V4-Flash
2026-07-28,tencent/hy3-20260706,standard,5,5,40.73,38.0,41.0,2.64,0.58,0.528,348798,fp8,4,tencent/Hy3
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,18,18,48.21,47.0,99.0,1.66,2.808,0.87,347997,fp8,12,deepseek-ai/DeepSeek-V4-Pro
2026-07-28,z-ai/glm-5.2-20260616,standard,32,32,36.59,43.5,116.0,1.91,4.25,2.4134,217726,fp8,22,zai-org/GLM-5.2
2026-07-28,minimax/minimax-m3-20260531,standard,8,8,38.98,33.0,105.0,2.31,1.2,0.96,109030,fp8,6,MiniMaxAI/Minimax-M3
2026-07-28,stepfun/step-3.7-flash-20260528,standard,3,3,40.35,73.0,129.0,2.85,1.15,1.15,64485,fp8,2,stepfun-ai/Step-3.7-Flash
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,7,7,48.62,54.0,61.0,2.25,25.0,25.0,32726,unknown,0,
2026-07-28,moonshotai/kimi-k3-20260715,standard,6,6,22.85,22.0,60.0,4.16,15.0,15.0,54216,fp8,2,moonshotai/Kimi-K3
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,7,6,37.81,56.0,66.0,2.84,10.0,10.0,77591,unknown,0,
2026-07-28,google/gemini-3-flash-preview-20251217,standard,2,2,51.67,48.5,53.0,1.34,3.0,3.0,338687,unknown,0,
2026-07-28,anthropic/claude-4.6-sonnet-20260217,standard,8,7,37.55,41.0,76.0,1.36,15.0,15.0,147019,unknown,0,
2026-07-28,anthropic/claude-4.7-opus-20260416,standard,7,7,52.14,43.0,69.0,2.4,25.0,25.0,19010,unknown,0,
2026-07-28,google/gemini-2.5-flash-lite,standard,3,3,64.86,65.0,99.0,0.56,0.4,0.4,626582,unknown,0,
2026-07-28,google/gemini-2.5-flash,standard,4,4,60.97,67.0,88.0,0.77,2.5,2.5,678004,unknown,0,
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,6,6,38.62,38.0,126.5,2.29,0.9152,0.696,35697,fp8,4,XiaomiMiMo/MiMo-V2.5-Pro
2026-07-28,google/gemini-3.1-flash-lite-20260507,standard,2,2,84.95,85.5,89.0,0.66,1.5,1.5,358085,unknown,0,
2026-07-28,x-ai/grok-4.5-20260708,standard,2,2,53.76,52.0,54.0,1.09,6.0,6.0,34732,unknown,0,
2026-07-28,openai/gpt-5.6-sol-20260709,standard,3,3,36.4,36.0,38.0,3.16,30.0,30.0,27413,unknown,0,
2026-07-28,openai/gpt-oss-120b,standard,19,18,128.33,106.0,535.0,0.55,0.6,0.17,437547,fp4,10,openai/gpt-oss-120b
