run_date,window,as_of,models,total_tokens,us_tokens,us_token_share_pct,free_tokens,requests,output_token_share_pct,est_spend_usd,est_us_spend_usd,us_spend_share_pct,avg_list_price_usd_per_mn,vwap_usd_per_mn,us_vwap_usd_per_mn,top5_volume_share_pct,top5_spend_share_pct,unpriced_token_share_pct,degraded,degrade_note,paid_tokens
2026-08-06,day,2026-08-04,446,9996550853376,3177301515420,31.78,936867185231,594323167,2.76,6991961.61,4772170.7,68.25,3.9006,0.7776,1.736,46.19,43.02,0.68,0,,8991232764078
2026-08-06,week,2026-08-04,469,58254218512292,19740060760453,33.89,6038087428034,3976055602,3.19,43411922.84,30123811.68,69.39,3.3303,0.8418,1.8006,40.28,42.98,1.11,0,,51571093920987
2026-08-06,day,2026-08-05,450,10787614259704,3991184919875,37.0,918807141745,596459153,2.68,8519564.13,6274394.89,73.65,3.8777,0.869,1.7616,43.76,46.24,0.61,0,,9803432078309
2026-08-06,week,2026-08-05,455,60845126974071,21040109690711,34.58,6156931735045,3966423076,3.05,44451900.08,31394541.23,70.63,3.2723,0.822,1.7387,41.79,42.16,1.01,0,,54074945880242
2026-08-07,day,2026-08-05,450,10787614259704,3991184919875,37.0,918807141745,596459153,2.68,5540341.19,3379537.99,61.0,2.486,0.5651,0.9488,43.76,44.85,0.61,0,,9803432078309
2026-08-07,week,2026-08-05,455,60845126974071,21040109690711,34.58,6156931735045,3966423076,3.05,29756466.76,17208952.81,57.83,2.1832,0.5503,0.9531,41.79,41.57,1.01,0,,54074945880242
2026-08-07,day,2026-08-06,471,11001204844264,4222438881033,38.38,878820223228,598686527,2.57,5616019.7,3405028.69,60.63,2.5381,0.5582,0.9059,45.22,47.42,0.55,0,,10061621787294
2026-08-07,week,2026-08-06,478,63524398313937,22454181752264,35.35,6185327988346,3969668232,2.92,30518197.77,17705512.22,58.02,2.1477,0.5374,0.9096,43.46,41.38,0.87,0,,56783449711104
2026-08-08,day,2026-08-07,483,10378071121073,3668321865401,35.35,776927692153,580448094,2.8,4979024.3,2905950.9,58.36,2.4481,0.5221,0.9078,48.87,42.53,0.62,0,,9537248558633
2026-08-08,week,2026-08-07,493,65606247535347,23056484000260,35.14,6091681412794,3964106903,2.84,31426143.91,18035254.04,57.39,2.2976,0.5325,0.9011,45.14,41.66,0.75,0,,59020759391795
